iter	Passed	Remaining
404	5800	959
405	5822	946
406	5855	935
407	5947	932
408	6026	928
409	6101	922
410	6129	909
411	6166	898
412	6183	883
413	6233	873
414	6282	862
415	6622	891
416	6719	886
417	6736	870
418	6886	871
419	6924	857
420	6946	841
421	6980	827
422	7003	811
423	7024	795
424	7057	780
425	7082	764
426	7113	749
427	7141	734
428	7157	717
429	7175	700
430	7189	683
431	7205	667
432	7221	650
433	7236	633
434	7250	616
435	7264	599
436	7276	582
437	7290	565
438	7301	548
439	7313	531
440	7324	514
441	7336	497
442	7348	481
443	7358	464
444	7371	447
445	7382	430
446	7395	413
447	7406	396
448	7419	380
449	7432	363
450	7443	346
451	7456	329
452	7468	313
453	7480	296
454	7496	280
455	7507	263
456	7519	246
457	7530	230
458	7541	213
459	7553	197
460	7566	180
461	7581	164
462	7592	147
463	7602	131
464	7614	114
465	7619	98
466	7629	81
467	7639	65
468	7649	48
469	7660	32
470	7670	16
471	7679	0
