iter	Logloss
0	0.5510067696
1	0.4595947589
2	0.3988622297
3	0.3635504482
4	0.3205666485
5	0.2959720725
6	0.2736698592
7	0.2502503838
8	0.2364237593
9	0.2243953229
10	0.2141339827
11	0.2054536367
12	0.1968262718
13	0.1897657411
14	0.1798784407
15	0.1729753676
16	0.1668841188
17	0.1569109098
18	0.1514633392
19	0.1445269015
20	0.1392671936
21	0.1353499459
22	0.1312176894
23	0.1257355804
24	0.1200709156
25	0.1150848668
26	0.1097247906
27	0.106005495
28	0.1030002901
29	0.1012214813
30	0.097579004
31	0.09472125486
32	0.09204868384
33	0.08881349225
34	0.08580409808
35	0.08373270039
36	0.08110360814
37	0.07806915937
38	0.0766172905
39	0.07498164826
40	0.07237148589
41	0.07043801031
42	0.06910028258
43	0.06656376066
44	0.06460348233
45	0.06269871373
46	0.06045390666
47	0.05874004758
48	0.05754145942
49	0.05586193884
50	0.05467049308
51	0.05342406204
52	0.05279950107
53	0.05201931494
54	0.05081169576
55	0.04932312216
56	0.04806273095
57	0.04669590916
58	0.04577438268
59	0.0445824437
60	0.04363467012
61	0.04316982372
62	0.0423619233
63	0.04125457564
64	0.04061523663
65	0.03974935723
66	0.03921766628
67	0.03873717089
68	0.03789678938
69	0.0369084121
70	0.03593242165
71	0.03500092764
72	0.03462941326
73	0.03384300249
74	0.03344700165
75	0.03272306509
76	0.03214764562
77	0.03152229487
78	0.03113959863
79	0.03093142309
80	0.03017001699
81	0.02958792961
82	0.02942725045
83	0.02929264044
84	0.02864486353
85	0.02818703155
86	0.02794445196
87	0.02761932888
88	0.02714176787
89	0.02671346699
90	0.02627127151
91	0.02591743053
92	0.02558524152
93	0.02509465686
94	0.02483804219
95	0.02438299475
96	0.02394498856
97	0.02373864545
98	0.02329202654
99	0.02293438959
100	0.02262266321
101	0.02233299618
102	0.02206259929
103	0.02185723951
104	0.02164698336
105	0.02132444348
106	0.02096546889
107	0.02059267462
108	0.02035421565
109	0.02030162937
110	0.02005961324
111	0.01985226183
112	0.01959442346
113	0.0193263928
114	0.01908890468
115	0.01885788779
116	0.01861874049
117	0.01839138378
118	0.01817924995
119	0.01791889238
120	0.017727499
121	0.01750132384
122	0.0173275461
123	0.01711688882
124	0.01696952207
125	0.01674606433
126	0.01654878814
127	0.01636678165
128	0.01621972082
129	0.01599252331
130	0.01578516721
131	0.01562471593
132	0.01553191772
133	0.01534877025
134	0.01519795716
135	0.01515803086
136	0.01504470759
137	0.01491961871
138	0.01477769773
139	0.01472455735
140	0.01465951088
141	0.01452976289
142	0.014425672
143	0.01432673656
144	0.01423186556
145	0.01408907362
146	0.01395334293
147	0.01383946401
148	0.01375113916
149	0.01356136905
150	0.01340960385
151	0.01325398493
152	0.01311221534
153	0.01301258065
154	0.01294956327
155	0.01286075847
156	0.01270670273
157	0.01261063768
158	0.01253614501
159	0.01237906436
160	0.01227646953
161	0.01219128588
162	0.01215261059
163	0.0120415365
164	0.01195953774
165	0.01190124347
166	0.01178802635
167	0.01171327301
168	0.01162780138
169	0.01159165232
170	0.01150676835
171	0.01143400196
172	0.01132842125
173	0.01121946365
174	0.0111394456
175	0.01104500305
176	0.0109628724
177	0.01087751471
178	0.01081783988
179	0.01072765686
180	0.01066317073
181	0.01058463236
182	0.01050230426
183	0.010447852
184	0.01039302982
185	0.01032146684
186	0.01025157943
187	0.0101902501
188	0.01011724023
189	0.01006488651
190	0.01002965522
191	0.009977339749
192	0.009933656505
193	0.009863324251
194	0.009792964682
195	0.009772207064
196	0.009772020544
197	0.009771929235
198	0.00972764897
199	0.009656567512
200	0.009625854854
201	0.009545399768
202	0.009496408106
203	0.009466557032
204	0.009445740882
205	0.009373861835
206	0.009342086244
207	0.0092768236
208	0.009238641539
209	0.009194013987
210	0.009166259121
211	0.00912239482
212	0.009078966774
213	0.00902893169
214	0.009006302624
215	0.0089713835
216	0.008950476041
217	0.008870667144
218	0.008830409165
219	0.008794907067
220	0.008767825704
221	0.008748613318
222	0.008676028771
223	0.008618052911
224	0.008546066947
225	0.008519809707
226	0.008477615505
227	0.008422335217
228	0.008422293074
229	0.008366749784
230	0.008344414156
231	0.008325668462
232	0.008325403119
233	0.008298955457
234	0.008268551064
235	0.008268368446
236	0.008268298208
237	0.008268242018
238	0.008268262309
239	0.008225727844
240	0.008225735648
241	0.008168335738
242	0.008112334341
243	0.008112073681
244	0.008062603621
245	0.008052115553
246	0.008052067948
247	0.008037595054
248	0.008011749876
249	0.007983420621
250	0.007949366203
251	0.00794923119
252	0.007907177464
253	0.007870422791
254	0.00784949192
255	0.007823506267
256	0.007798955026
257	0.007767271524
258	0.007710639548
259	0.007692415955
260	0.007658973386
261	0.007640359582
262	0.00762796885
263	0.007608296016
264	0.007583039275
265	0.007557443052
266	0.007557460221
267	0.007520863193
268	0.007500996815
269	0.00747521173
270	0.007457749046
271	0.007437970856
272	0.007396470448
273	0.007346034228
274	0.007296659379
275	0.007286950171
276	0.007263445474
277	0.007218520581
278	0.007163162251
279	0.0071169403
280	0.007107732122
281	0.007063251289
282	0.007041702325
283	0.006989283057
284	0.006953463328
285	0.006921455171
286	0.006881659201
287	0.006840256346
288	0.006801022278
289	0.006767350266
290	0.006741017325
291	0.006698064555
292	0.00667703301
293	0.00666139807
294	0.006632623975
295	0.006575714169
296	0.006541456061
297	0.006499942386
298	0.006467162784
299	0.006435639659
300	0.006403993618
301	0.006403977229
302	0.006370618555
303	0.006336279674
304	0.00631175965
305	0.006290741371
306	0.006264214106
307	0.006236256331
308	0.006215821417
309	0.006185572328
310	0.006162426624
311	0.006132554477
312	0.006113635139
313	0.006091283513
314	0.006070908691
315	0.006053244659
316	0.006027280857
317	0.006000710279
318	0.005972291666
319	0.00594804674
320	0.005929796222
321	0.005900959693
322	0.005885089067
323	0.005872994894
324	0.005873015966
325	0.005843019733
326	0.005807674499
327	0.005805842463
328	0.005781116798
329	0.005751307866
330	0.005724677195
331	0.005705832777
332	0.005684306445
333	0.005657936825
334	0.005629844818
335	0.005629765215
336	0.005615152626
337	0.005610783053
338	0.005595003736
339	0.00556723092
340	0.005555320927
